ticker,company,aliases,ambiguity,ambiguous_aliases,kind,notes
APA,APA Corporation,APA|APA Corporation,medium,,equity,S&P 500 constituent
APD,Air Products,Air Products,medium,,equity,S&P 500 constituent
APH,Amphenol,Amphenol,medium,,equity,S&P 500 constituent
APO,Apollo Global Management,Apollo Global Management,medium,,equity,S&P 500 constituent
APP,AppLovin,AppLovin,medium,,equity,S&P 500 constituent
APTV,Aptiv,Aptiv,low,,equity,S&P 500 constituent
ARE,Alexandria Real Estate Equities,Alexandria Real Estate Equities,high,,equity,S&P 500 constituent
ARES,Ares Management,Ares Management,low,,equity,S&P 500 constituent
ATO,Atmos Energy,Atmos Energy,medium,,equity,S&P 500 constituent
AVGO,Broadcom,Broadcom,low,,equity,S&P 500 constituent
AVY,Avery Dennison,Avery Dennison,medium,,equity,S&P 500 constituent
AWK,American Water Works,American Water Works,medium,,equity,S&P 500 constituent
AXON,Axon Enterprise,Axon Enterprise,low,,equity,S&P 500 constituent
AXP,American Express,American Express,medium,,equity,S&P 500 constituent
AZO,AutoZone,AutoZone,medium,,equity,S&P 500 constituent
BA,Boeing,Boeing,medium,,equity,two letter ticker collides with common abbreviations
BABA,Alibaba,Alibaba,low,,equity,
BAC,Bank of America,Bank of America,low,,equity,
BALL,Ball Corporation,Ball|Ball Corporation,low,Ball,equity,S&P 500 constituent
BAX,Baxter International,Baxter International,medium,,equity,S&P 500 constituent
BBY,Best Buy,Best Buy,medium,,equity,S&P 500 constituent
BDX,Becton Dickinson,Becton Dickinson,medium,,equity,S&P 500 constituent
BEN,Franklin Resources,Franklin Resources,medium,,equity,S&P 500 constituent
BF.B,Brown–Forman,Brown–Forman,low,,equity,S&P 500 constituent
BG,Bunge Global,Bunge Global,high,,equity,S&P 500 constituent
BIG,Big Lots,Big Lots,high,,equity,BIG is a very common English adjective
BIIB,Biogen,Biogen,low,,equity,S&P 500 constituent
BKNG,Booking Holdings,Booking|Booking Holdings,low,,equity,S&P 500 constituent
BKR,Baker Hughes,Baker Hughes,medium,,equity,S&P 500 constituent
BLDR,Builders FirstSource,Builders FirstSource,low,,equity,S&P 500 constituent
BLK,BlackRock,BlackRock,medium,,equity,S&P 500 constituent
BMY,Bristol Myers Squibb,Bristol Myers Squibb,medium,,equity,S&P 500 constituent
BNY,BNY Mellon,BNY Mellon,medium,,equity,S&P 500 constituent
BR,Broadridge Financial Solutions,Broadridge Financial Solutions,high,,equity,S&P 500 constituent
BRK.B,Berkshire Hathaway,Berkshire Hathaway,low,,equity,S&P 500 constituent
BRO,Brown & Brown,Brown & Brown,medium,,equity,S&P 500 constituent
BSX,Boston Scientific,Boston Scientific,medium,,equity,S&P 500 constituent
BX,Blackstone Inc.,Blackstone|Blackstone Inc.,high,,equity,S&P 500 constituent
BXP,"BXP, Inc.","BXP|BXP, Inc.",medium,,equity,S&P 500 constituent
C,Citigroup,Citigroup|Citibank|Citi,high,,equity,single letter ticker
CAH,Cardinal Health,Cardinal Health,medium,,equity,S&P 500 constituent
CARR,Carrier Global,Carrier Global,low,,equity,S&P 500 constituent
CARS,Cars.com,Cars.com,high,,equity,CARS is a common English noun
CASY,Casey's,Casey's,low,,equity,S&P 500 constituent
CAT,Caterpillar,Caterpillar,high,,equity,CAT is a common English noun
CB,Chubb Limited,Chubb Limited,high,,equity,S&P 500 constituent
CBOE,Cboe Global Markets,Cboe Global Markets,low,,equity,S&P 500 constituent
CBRE,CBRE Group,CBRE|CBRE Group,low,,equity,S&P 500 constituent
CCI,Crown Castle,Crown Castle,medium,,equity,S&P 500 constituent
CCL,Carnival Corporation,Carnival|Carnival Corporation,medium,Carnival,equity,S&P 500 constituent
CDNS,Cadence Design Systems,Cadence Design Systems,low,,equity,S&P 500 constituent
CDW,CDW Corporation,CDW|CDW Corporation,medium,,equity,S&P 500 constituent
CEG,Constellation Energy,Constellation Energy,medium,,equity,S&P 500 constituent
CF,CF Industries,CF Industries,high,,equity,S&P 500 constituent
CFG,Citizens Financial Group,Citizens Financial|Citizens Financial Group,medium,,equity,S&P 500 constituent
CHD,Church & Dwight,Church & Dwight,medium,,equity,S&P 500 constituent
CHRW,C.H. Robinson,C.H. Robinson,low,,equity,S&P 500 constituent
CHTR,Charter Communications,Charter Communications,low,,equity,S&P 500 constituent
CI,Cigna,Cigna,high,,equity,S&P 500 constituent
CIEN,Ciena,Ciena,low,,equity,S&P 500 constituent
CINF,Cincinnati Financial,Cincinnati Financial,low,,equity,S&P 500 constituent
CL,Colgate-Palmolive,Colgate-Palmolive,high,,equity,S&P 500 constituent
CLX,Clorox,Clorox,medium,,equity,S&P 500 constituent
CMCSA,Comcast,Comcast|NBC|MSNBC|NBCUniversal,low,,equity,
CME,CME Group,CME|CME Group,medium,,equity,S&P 500 constituent
CMG,Chipotle Mexican Grill,Chipotle Mexican Grill,medium,,equity,S&P 500 constituent
CMI,Cummins,Cummins,medium,,equity,S&P 500 constituent
CMS,CMS Energy,CMS Energy,medium,,equity,S&P 500 constituent
CNC,Centene Corporation,Centene|Centene Corporation,medium,,equity,S&P 500 constituent
CNP,CenterPoint Energy,CenterPoint Energy,medium,,equity,S&P 500 constituent
COF,Capital One,Capital One,medium,,equity,S&P 500 constituent
COHR,Coherent Corp.,Coherent|Coherent Corp.,low,,equity,S&P 500 constituent
COIN,Coinbase,Coinbase,medium,,equity,coin is a common English noun
COO,Cooper Companies (The),Cooper Companies|Cooper Companies (The),medium,,equity,S&P 500 constituent
COP,ConocoPhillips,ConocoPhillips,medium,,equity,S&P 500 constituent
COR,Cencora,Cencora,medium,,equity,S&P 500 constituent
COST,Costco,Costco,high,,equity,COST is a common English noun and verb
CPAY,Corpay,Corpay,low,,equity,S&P 500 constituent
CPRT,Copart,Copart,low,,equity,S&P 500 constituent
CPT,Camden Property Trust,Camden Property Trust,medium,,equity,S&P 500 constituent
CRH,CRH plc,CRH|CRH plc,medium,,equity,S&P 500 constituent
CRL,Charles River Laboratories,Charles River Laboratories,medium,,equity,S&P 500 constituent
CRM,Salesforce,Salesforce,medium,,equity,
CRWD,CrowdStrike,CrowdStrike,low,,equity,S&P 500 constituent
CSCO,Cisco,Cisco,low,,equity,S&P 500 constituent
CSGP,CoStar Group,CoStar|CoStar Group,low,,equity,S&P 500 constituent
CSX,CSX Corporation,CSX|CSX Corporation,medium,,equity,S&P 500 constituent
CTAS,Cintas,Cintas,low,,equity,S&P 500 constituent
CTSH,Cognizant,Cognizant,low,,equity,S&P 500 constituent
CTVA,Corteva,Corteva,low,,equity,S&P 500 constituent
CVNA,Carvana,Carvana,low,,equity,S&P 500 constituent
CVS,CVS Health,CVS,low,,equity,
CVX,Chevron,Chevron,low,,equity,
D,Dominion Energy,Dominion Energy,high,,equity,S&P 500 constituent
DAL,Delta Air Lines,Delta Air Lines|Delta Airlines,medium,Delta,equity,Delta is also a Greek letter and a landform
DASH,DoorDash,DoorDash,low,,equity,S&P 500 constituent
DD,DuPont,DuPont,high,,equity,S&P 500 constituent
DDOG,Datadog,Datadog,low,,equity,S&P 500 constituent
DE,Deere,John Deere|Deere,high,,equity,DE is a common abbreviation for Delaware and German
DECK,Deckers Brands,Deckers Brands,low,,equity,S&P 500 constituent
DELL,Dell Technologies,Dell Technologies,low,,equity,S&P 500 constituent
DG,Dollar General,Dollar General,high,,equity,S&P 500 constituent
DGX,Quest Diagnostics,Quest Diagnostics,medium,,equity,S&P 500 constituent
DHI,D. R. Horton,D. R. Horton,medium,,equity,S&P 500 constituent
DHR,Danaher Corporation,Danaher|Danaher Corporation,medium,,equity,S&P 500 constituent
DIA,SPDR Dow Jones Industrial Average ETF,Dow Jones|Dow Jones Industrial Average|the Dow,medium,,index_etf,"index or ETF, counts as a stock mention per the brief"
DIS,Disney,Disney|Walt Disney|ABC News|ESPN,medium,,equity,
DJT,Trump Media & Technology Group,Trump Media|Truth Social|TMTG|Trump Media and Technology,high,,equity,ticker collides with Trump's own initials which he uses to sign posts
DLR,Digital Realty,Digital Realty,medium,,equity,S&P 500 constituent
DLTR,Dollar Tree,Dollar Tree,low,,equity,S&P 500 constituent
DOC,Healthpeak Properties,Healthpeak Properties,medium,,equity,S&P 500 constituent
DOV,Dover Corporation,Dover|Dover Corporation,medium,Dover,equity,Dover is also an air base and a city
DOW,Dow Inc.,Dow|Dow Inc.,medium,,equity,S&P 500 constituent
DPZ,Domino's,Domino's,medium,,equity,S&P 500 constituent
DRI,Darden Restaurants,Darden Restaurants,medium,,equity,S&P 500 constituent
DTE,DTE Energy,DTE Energy,medium,,equity,S&P 500 constituent
DUK,Duke Energy,Duke Energy,medium,,equity,S&P 500 constituent
DVA,DaVita,DaVita,medium,,equity,S&P 500 constituent
DVN,Devon Energy,Devon Energy,medium,,equity,S&P 500 constituent
DXCM,Dexcom,Dexcom,low,,equity,S&P 500 constituent
EBAY,eBay Inc.,eBay|eBay Inc.,low,,equity,S&P 500 constituent
ECHO,EchoStar,EchoStar,low,,equity,S&P 500 constituent
ECL,Ecolab,Ecolab,medium,,equity,S&P 500 constituent
ED,Consolidated Edison,Consolidated Edison,high,,equity,S&P 500 constituent
EFX,Equifax,Equifax,medium,,equity,S&P 500 constituent
EG,Everest Group,Everest|Everest Group,high,,equity,S&P 500 constituent
EIX,Edison International,Edison International,medium,,equity,S&P 500 constituent
EL,Estée Lauder Companies (The),Estée Lauder Companies|Estée Lauder Companies (The),high,,equity,S&P 500 constituent
ELV,Elevance Health,Elevance Health,medium,,equity,S&P 500 constituent
EME,Emcor,Emcor,medium,,equity,S&P 500 constituent
EMR,Emerson Electric,Emerson Electric,medium,,equity,S&P 500 constituent
EOG,EOG Resources,EOG Resources,medium,,equity,S&P 500 constituent
EQIX,Equinix,Equinix,low,,equity,S&P 500 constituent
EQT,EQT Corporation,EQT|EQT Corporation,medium,,equity,S&P 500 constituent
ERIE,Erie Indemnity,Erie Indemnity,low,,equity,S&P 500 constituent
ES,Eversource Energy,Eversource Energy,high,,equity,S&P 500 constituent
ESS,Essex Property Trust,Essex Property Trust,medium,,equity,S&P 500 constituent
ETN,Eaton Corporation,Eaton|Eaton Corporation,medium,,equity,S&P 500 constituent
ETR,Entergy,Entergy,medium,,equity,S&P 500 constituent
EVRG,Evergy,Evergy,low,,equity,S&P 500 constituent
EW,Edwards Lifesciences,Edwards Lifesciences,high,,equity,S&P 500 constituent
EXC,Exelon,Exelon,medium,,equity,S&P 500 constituent
EXE,Expand Energy,Expand Energy,medium,,equity,S&P 500 constituent
EXPD,Expeditors International,Expeditors International,low,,equity,S&P 500 constituent
EXPE,Expedia Group,Expedia|Expedia Group,low,,equity,S&P 500 constituent
EXR,Extra Space Storage,Extra Space Storage,medium,,equity,S&P 500 constituent
F,Ford,Ford|Ford Motor,high,Ford,equity,single letter ticker and Ford is a common surname
FANG,Diamondback Energy,Diamondback Energy,low,,equity,S&P 500 constituent
FAST,Fastenal,Fastenal,high,,equity,FAST is a common English adjective
FCX,Freeport-McMoRan,Freeport-McMoRan,medium,,equity,S&P 500 constituent
FDS,FactSet,FactSet,medium,,equity,S&P 500 constituent
FDX,FedEx,FedEx|Federal Express,low,,equity,
FDXF,FedEx Freight,FedEx Freight,low,,equity,S&P 500 constituent
FE,FirstEnergy,FirstEnergy,high,,equity,S&P 500 constituent
FERG,Ferguson Enterprises,Ferguson Enterprises,low,,equity,S&P 500 constituent
FFIV,"F5, Inc.","F5|F5, Inc.",low,,equity,S&P 500 constituent
FICO,Fair Isaac,Fair Isaac,low,,equity,S&P 500 constituent
FIS,Fidelity National Information Services,Fidelity National Information Services,medium,,equity,S&P 500 constituent
FISV,Fiserv,Fiserv,low,,equity,S&P 500 constituent
FITB,Fifth Third Bancorp,Fifth Third Bancorp,low,,equity,S&P 500 constituent
FIX,Comfort Systems USA,Comfort Systems USA,medium,,equity,S&P 500 constituent
FLEX,Flex Ltd.,Flex|Flex Ltd.,low,,equity,S&P 500 constituent
FOX,Fox Corporation (Class B),Fox Corporation,medium,,equity,"class B; bare Fox is too ambiguous to match, FOXA carries Fox News"
FOXA,Fox Corporation,Fox News|Fox Corporation,medium,,equity,Fox is also a surname and an animal
FRT,Federal Realty Investment Trust,Federal Realty Investment Trust,medium,,equity,S&P 500 constituent
FSLR,First Solar,First Solar,low,,equity,S&P 500 constituent
FTNT,Fortinet,Fortinet,low,,equity,S&P 500 constituent
FTV,Fortive,Fortive,medium,,equity,S&P 500 constituent
GD,General Dynamics,General Dynamics,medium,,equity,
GDDY,GoDaddy,GoDaddy,low,,equity,S&P 500 constituent
GE,General Electric,General Electric,medium,,equity,
GEHC,GE HealthCare,GE HealthCare,low,,equity,S&P 500 constituent
GEN,Gen Digital,Gen Digital,medium,,equity,S&P 500 constituent
GEV,GE Vernova,GE Vernova,medium,,equity,S&P 500 constituent
GILD,Gilead Sciences,Gilead Sciences,low,,equity,S&P 500 constituent
GIS,General Mills,General Mills,medium,,equity,S&P 500 constituent
GL,Globe Life,Globe Life,high,,equity,S&P 500 constituent
GLD,SPDR Gold Shares,SPDR Gold,medium,,index_etf,"index or ETF, counts as a stock mention per the brief"
GLW,Corning Inc.,Corning|Corning Inc.,medium,,equity,S&P 500 constituent
GM,General Motors,General Motors|GM,high,,equity,GM also abbreviates general manager and genetically modified
GNRC,Generac,Generac,low,,equity,S&P 500 constituent
GO,Grocery Outlet,Grocery Outlet,high,,equity,GO is an extremely common English verb
GOOD,Gladstone Commercial,Gladstone Commercial,high,,equity,GOOD is an extremely common English adjective
GOOG,Alphabet Inc. (Class C),Alphabet|Alphabet Inc. (Class C),low,,equity,S&P 500 constituent
GOOGL,Alphabet,Google|Alphabet|YouTube,low,,equity,
GPC,Genuine Parts Company,Genuine Parts|Genuine Parts Company,medium,,equity,S&P 500 constituent
GPN,Global Payments,Global Payments,medium,,equity,S&P 500 constituent
GRMN,Garmin,Garmin,low,,equity,S&P 500 constituent
GS,Goldman Sachs,Goldman Sachs|Goldman,low,,equity,
GWW,W. W. Grainger,W. W. Grainger,medium,,equity,S&P 500 constituent
HAL,Halliburton,Halliburton,medium,,equity,S&P 500 constituent
HAS,Hasbro,Hasbro,high,,equity,S&P 500 constituent
HBAN,Huntington Bancshares,Huntington Bancshares,low,,equity,S&P 500 constituent
HCA,HCA Healthcare,HCA Healthcare,medium,,equity,S&P 500 constituent
HD,Home Depot,Home Depot,medium,,equity,
HIG,Hartford (The),Hartford|Hartford (The),medium,,equity,S&P 500 constituent
HII,Huntington Ingalls Industries,Huntington Ingalls Industries,medium,,equity,S&P 500 constituent
HLT,Hilton Worldwide,Hilton Worldwide,medium,,equity,S&P 500 constituent
HON,Honeywell,Honeywell,medium,,equity,
HONA,Honeywell Aerospace,Honeywell Aerospace,low,,equity,S&P 500 constituent
HOOD,Robinhood Markets,Robinhood Markets,low,,equity,S&P 500 constituent
HOPE,Hope Bancorp,Hope Bancorp,high,,equity,HOPE is a common English noun and verb
HPE,Hewlett Packard Enterprise,Hewlett Packard Enterprise,medium,,equity,S&P 500 constituent
HPQ,HP Inc.,HP|HP Inc.,medium,,equity,S&P 500 constituent
HRL,Hormel Foods,Hormel Foods,medium,,equity,S&P 500 constituent
HSIC,Henry Schein,Henry Schein,low,,equity,S&P 500 constituent
HST,Host Hotels & Resorts,Host Hotels & Resorts,medium,,equity,S&P 500 constituent
HSY,Hershey Company (The),Hershey|Hershey Company (The),medium,,equity,S&P 500 constituent
HUBB,Hubbell Incorporated,Hubbell|Hubbell Incorporated,low,,equity,S&P 500 constituent
HUM,Humana,Humana,medium,,equity,S&P 500 constituent
HWM,Howmet Aerospace,Howmet Aerospace,medium,,equity,S&P 500 constituent
IBKR,Interactive Brokers,Interactive Brokers,low,,equity,S&P 500 constituent
IBM,IBM,IBM|International Business Machines,low,,equity,
ICE,Intercontinental Exchange,Intercontinental Exchange,high,,equity,S&P 500 constituent
IDXX,Idexx Laboratories,Idexx Laboratories,low,,equity,S&P 500 constituent
IEX,IDEX Corporation,IDEX|IDEX Corporation,medium,,equity,S&P 500 constituent
IFF,International Flavors & Fragrances,International Flavors & Fragrances,medium,,equity,S&P 500 constituent
INCY,Incyte,Incyte,low,,equity,S&P 500 constituent
INTC,Intel,Intel,low,Intel,equity,
INTU,Intuit,Intuit,low,,equity,S&P 500 constituent
INVH,Invitation Homes,Invitation Homes,low,,equity,S&P 500 constituent
IP,International Paper,International Paper,high,,equity,S&P 500 constituent
IQV,IQVIA,IQVIA,medium,,equity,S&P 500 constituent
IR,Ingersoll Rand,Ingersoll Rand,high,,equity,S&P 500 constituent
IRM,Iron Mountain,Iron Mountain,medium,,equity,S&P 500 constituent
ISRG,Intuitive Surgical,Intuitive Surgical,low,,equity,S&P 500 constituent
IT,Gartner,Gartner,high,,equity,IT is an extremely common English word and abbreviation
ITW,Illinois Tool Works,Illinois Tool Works,medium,,equity,S&P 500 constituent
IVZ,Invesco,Invesco,medium,,equity,S&P 500 constituent
IWM,iShares Russell 2000 ETF,Russell 2000,medium,,index_etf,"index or ETF, counts as a stock mention per the brief"
J,Jacobs Solutions,Jacobs Solutions,high,,equity,S&P 500 constituent
JBHT,J.B. Hunt,J.B. Hunt,low,,equity,S&P 500 constituent
JBL,Jabil,Jabil,medium,,equity,S&P 500 constituent
JCI,Johnson Controls,Johnson Controls,medium,,equity,S&P 500 constituent
JKHY,Jack Henry & Associates,Jack Henry & Associates,low,,equity,S&P 500 constituent
JNJ,Johnson & Johnson,Johnson & Johnson|J&J,medium,,equity,
JPM,JPMorgan Chase,JPMorgan|JP Morgan|Chase Bank,low,,equity,
KDP,Keurig Dr Pepper,Keurig Dr Pepper,medium,,equity,S&P 500 constituent
KEY,KeyCorp,KeyCorp,high,,equity,KEY is a common English noun
KEYS,Keysight Technologies,Keysight Technologies,low,,equity,S&P 500 constituent
KHC,Kraft Heinz,Kraft Heinz,medium,,equity,S&P 500 constituent
KIM,Kimco Realty,Kimco Realty,medium,,equity,S&P 500 constituent
KKR,KKR & Co.,KKR &|KKR & Co.,medium,,equity,S&P 500 constituent
KLAC,KLA Corporation,KLA|KLA Corporation,low,,equity,S&P 500 constituent
KMB,Kimberly-Clark,Kimberly-Clark,medium,,equity,S&P 500 constituent
KMI,Kinder Morgan,Kinder Morgan,medium,,equity,S&P 500 constituent
KO,Coca-Cola,Coca-Cola|Coke,medium,Coke,equity,
KR,Kroger,Kroger,high,,equity,S&P 500 constituent
KVUE,Kenvue,Kenvue,low,,equity,S&P 500 constituent
L,Loews Corporation,Loews|Loews Corporation,high,,equity,S&P 500 constituent
LCID,Lucid,Lucid Motors|Lucid Group,medium,,equity,
LDOS,Leidos,Leidos,low,,equity,S&P 500 constituent
LEN,Lennar,Lennar,medium,,equity,S&P 500 constituent
LH,Labcorp,Labcorp,high,,equity,S&P 500 constituent
LHX,L3Harris,L3Harris,medium,,equity,S&P 500 constituent
LII,Lennox International,Lennox International,medium,,equity,S&P 500 constituent
LIN,Linde plc,Linde|Linde plc,medium,,equity,S&P 500 constituent
LITE,Lumentum,Lumentum,low,,equity,S&P 500 constituent
LLY,Eli Lilly,Eli Lilly|Lilly,low,,equity,
LMT,Lockheed Martin,Lockheed|Lockheed Martin,low,,equity,
LNT,Alliant Energy,Alliant Energy,medium,,equity,S&P 500 constituent
LOVE,Lovesac,Lovesac,high,,equity,LOVE is a very common English noun and verb
LOW,Lowes,Lowe's|Lowes,high,,equity,LOW is a common English adjective
LRCX,Lam Research,Lam Research,low,,equity,S&P 500 constituent
LULU,Lululemon Athletica,Lululemon Athletica,low,,equity,S&P 500 constituent
LUV,Southwest Airlines,Southwest Airlines,high,,equity,LUV reads as an informal spelling of love
LVS,Las Vegas Sands,Las Vegas Sands,medium,,equity,S&P 500 constituent
LYB,LyondellBasell,LyondellBasell,medium,,equity,S&P 500 constituent
LYV,Live Nation Entertainment,Live Nation Entertainment,medium,,equity,S&P 500 constituent
MA,Mastercard,Mastercard,high,,equity,S&P 500 constituent
MAA,Mid-America Apartment Communities,Mid-America Apartment Communities,medium,,equity,S&P 500 constituent
MAR,Marriott International,Marriott International,medium,,equity,S&P 500 constituent
MAS,Masco,Masco,medium,,equity,S&P 500 constituent
MCD,McDonalds,McDonald's|McDonalds,low,,equity,
MCHP,Microchip Technology,Microchip Technology,low,,equity,S&P 500 constituent
MCK,McKesson Corporation,McKesson|McKesson Corporation,medium,,equity,S&P 500 constituent
MCO,Moody's Corporation,Moody's|Moody's Corporation,medium,,equity,S&P 500 constituent
MDLZ,Mondelez International,Mondelez International,low,,equity,S&P 500 constituent
MDT,Medtronic,Medtronic,medium,,equity,S&P 500 constituent
MET,MetLife,MetLife,medium,,equity,S&P 500 constituent
META,Meta Platforms,Meta|Facebook|Instagram|WhatsApp,medium,Meta,equity,Meta is also a common English adjective
MGM,MGM Resorts,MGM Resorts,medium,,equity,S&P 500 constituent
MKC,McCormick & Company,McCormick &|McCormick & Company,medium,,equity,S&P 500 constituent
MLM,Martin Marietta Materials,Martin Marietta Materials,medium,,equity,S&P 500 constituent
MMM,3M,3M,medium,,equity,
MNST,Monster Beverage,Monster Beverage,low,,equity,S&P 500 constituent
MO,Altria,Altria,high,,equity,S&P 500 constituent
MOS,Mosaic Company (The),Mosaic|Mosaic Company (The),medium,,equity,S&P 500 constituent
MPC,Marathon Petroleum,Marathon Petroleum,medium,,equity,S&P 500 constituent
MPWR,Monolithic Power Systems,Monolithic Power Systems,low,,equity,S&P 500 constituent
MRK,Merck & Co.,Merck &|Merck & Co.,medium,,equity,S&P 500 constituent
MRNA,Moderna,Moderna,low,,equity,
MRSH,Marsh McLennan,Marsh McLennan,low,,equity,S&P 500 constituent
MRVL,Marvell Technology,Marvell Technology,low,,equity,S&P 500 constituent
MS,Morgan Stanley,Morgan Stanley,high,,equity,S&P 500 constituent
MSCI,MSCI,MSCI,low,,equity,S&P 500 constituent
MSFT,Microsoft,Microsoft,low,,equity,
MSI,Motorola Solutions,Motorola Solutions,medium,,equity,S&P 500 constituent
MSTR,Strategy,MicroStrategy|Strategy Inc,medium,,equity,
MTB,M&T Bank,M&T Bank,medium,,equity,S&P 500 constituent
MTD,Mettler Toledo,Mettler Toledo,medium,,equity,S&P 500 constituent
MU,Micron,Micron|Micron Technology,medium,,equity,
NCLH,Norwegian Cruise Line Holdings,Norwegian Cruise Line|Norwegian Cruise Line Holdings,low,,equity,S&P 500 constituent
NDAQ,"Nasdaq, Inc.","Nasdaq|Nasdaq, Inc.",low,,equity,S&P 500 constituent
NDSN,Nordson Corporation,Nordson|Nordson Corporation,low,,equity,S&P 500 constituent
NEE,NextEra Energy,NextEra Energy,medium,,equity,S&P 500 constituent
NEM,Newmont,Newmont,medium,,equity,S&P 500 constituent
NFLX,Netflix,Netflix,low,,equity,
NI,NiSource,NiSource,high,,equity,S&P 500 constituent
NIO,NIO,NIO,medium,,equity,
NKE,Nike,Nike,low,,equity,
NOC,Northrop Grumman,Northrop|Northrop Grumman,low,,equity,
NOW,ServiceNow,ServiceNow,high,,equity,NOW is an extremely common English adverb
NRG,NRG Energy,NRG Energy,medium,,equity,S&P 500 constituent
NSC,Norfolk Southern,Norfolk Southern,medium,,equity,S&P 500 constituent
NTAP,NetApp,NetApp,low,,equity,S&P 500 constituent
NTRS,Northern Trust,Northern Trust,low,,equity,S&P 500 constituent
NUE,Nucor,Nucor,medium,,equity,S&P 500 constituent
NVDA,Nvidia,Nvidia|NVIDIA,low,,equity,
NVR,"NVR, Inc.","NVR|NVR, Inc.",medium,,equity,S&P 500 constituent
NWS,News Corp (Class B),News|News Corp (Class B),medium,News,equity,S&P 500 constituent
NWSA,News Corp (Class A),News|News Corp (Class A),low,News,equity,S&P 500 constituent
NXPI,NXP Semiconductors,NXP Semiconductors,low,,equity,S&P 500 constituent
NYT,New York Times,New York Times|NYT|The Times,medium,,equity,
O,Realty Income,Realty Income,high,,equity,S&P 500 constituent
ODFL,Old Dominion,Old Dominion,low,,equity,S&P 500 constituent
OKE,Oneok,Oneok,medium,,equity,S&P 500 constituent
OMC,Omnicom Group,Omnicom|Omnicom Group,medium,,equity,S&P 500 constituent
ON,ON Semiconductor,ON Semiconductor|onsemi,high,,equity,ON is an extremely common English preposition
OPEN,Opendoor,Opendoor,high,,equity,OPEN is a very common English adjective and verb
ORCL,Oracle,Oracle|Oracle Corporation,low,,equity,
ORLY,O'Reilly Automotive,O'Reilly Automotive,low,,equity,S&P 500 constituent
OTIS,Otis Worldwide,Otis Worldwide,low,,equity,S&P 500 constituent
OXY,Occidental Petroleum,Occidental Petroleum,medium,,equity,S&P 500 constituent
PANW,Palo Alto Networks,Palo Alto Networks,low,,equity,S&P 500 constituent
PAYX,Paychex,Paychex,low,,equity,S&P 500 constituent
PCAR,Paccar,Paccar,low,,equity,S&P 500 constituent
PCG,PG&E Corporation,PG&E|PG&E Corporation,medium,,equity,S&P 500 constituent
PEG,Public Service Enterprise Group,Public Service Enterprise|Public Service Enterprise Group,medium,,equity,S&P 500 constituent
PEP,PepsiCo,Pepsi|PepsiCo,medium,,equity,
PFE,Pfizer,Pfizer,low,,equity,
PFG,Principal Financial Group,Principal Financial|Principal Financial Group,medium,,equity,S&P 500 constituent
